ticker,date,close_price
RELIANCE,2026-04-19,2400.00
RELIANCE,2026-04-20,2420.00
RELIANCE,2026-04-21,2410.00
RELIANCE,2026-04-22,2450.00
RELIANCE,2026-04-23,2480.00
RELIANCE,2026-04-24,2510.00
RELIANCE,2026-04-25,2530.00
TCS,2026-04-19,3300.00
TCS,2026-04-20,3280.00
TCS,2026-04-21,3250.00
TCS,2026-04-22,3220.00
TCS,2026-04-23,3200.00
TCS,2026-04-24,3190.00
TCS,2026-04-25,3180.00
HDFCBANK,2026-04-19,1500.00
HDFCBANK,2026-04-20,1520.00
HDFCBANK,2026-04-21,1530.00
HDFCBANK,2026-04-22,1540.00
HDFCBANK,2026-04-23,1560.00
HDFCBANK,2026-04-24,1570.00
HDFCBANK,2026-04-25,1580.00
